Sequence,Volt
1007,2.00E+01
1008,2.00E+01
1009,2.00E+01
1010,2.02E+01
1011,2.02E+01
1012,2.02E+01
1013,2.02E+01
1014,2.04E+01
1015,2.04E+01
1016,2.06E+01
1017,2.06E+01
1018,2.06E+01
1019,2.06E+01
1020,2.06E+01
1021,2.06E+01
1022,1.98E+01
1023,1.98E+01
1024,1.98E+01
1025,1.98E+01
1026,1.98E+01
1027,1.98E+01
1028,1.98E+01
1029,1.98E+01
1030,2.48E+01
1031,2.48E+01
1032,2.48E+01
1033,2.48E+01
1034,2.36E+01
1035,2.36E+01
1036,2.36E+01
1037,2.36E+01
1038,2.06E+01
1039,2.06E+01
1040,2.06E+01
1041,2.06E+01
1042,2.04E+01
1043,2.04E+01
1044,2.04E+01
1045,2.04E+01
1046,2.08E+01
1047,2.08E+01
1048,2.06E+01
1049,2.06E+01
1050,2.10E+01
1051,2.10E+01
1052,2.10E+01
1053,2.10E+01
1054,2.20E+01
1055,2.20E+01
1056,2.20E+01
1057,2.20E+01
1058,2.32E+01
1059,2.32E+01
1060,2.30E+01
1061,2.30E+01
1062,2.44E+01
1063,2.44E+01
1064,2.46E+01
1065,2.46E+01
1066,2.48E+01
1067,2.48E+01
1068,2.48E+01
1069,2.48E+01
1070,2.28E+01
1071,2.28E+01
1072,2.28E+01
1073,2.28E+01
1074,2.22E+01
1075,2.22E+01
1076,2.22E+01
1077,2.22E+01
1078,2.20E+01
1079,2.20E+01
1080,2.20E+01
1081,2.20E+01
1082,2.16E+01
1083,2.16E+01
1084,2.14E+01
1085,2.14E+01
1086,2.10E+01
1087,2.10E+01
1088,2.08E+01
1089,2.08E+01
1090,2.08E+01
1091,2.08E+01
1092,2.08E+01
1093,2.08E+01
1094,2.08E+01
1095,2.08E+01
1096,2.08E+01
1097,2.08E+01
1098,2.04E+01
1099,2.04E+01
1100,2.04E+01
1101,2.04E+01
1102,2.02E+01
1103,2.02E+01
1104,2.02E+01
1105,2.02E+01
1106,2.06E+01
1107,2.06E+01
1108,2.06E+01
1109,2.06E+01
1110,2.04E+01
1111,2.04E+01
1112,2.04E+01
1113,2.04E+01
1114,2.06E+01
1115,2.06E+01
1116,2.06E+01
1117,2.06E+01
1118,2.08E+01
1119,2.08E+01
1120,2.06E+01
1121,2.06E+01
1122,2.12E+01
1123,2.12E+01
1124,2.10E+01
1125,2.10E+01
1126,2.14E+01
1127,2.14E+01
1128,2.14E+01
1129,2.14E+01
1130,2.16E+01
1131,2.16E+01
1132,2.18E+01
1133,2.18E+01
1134,2.12E+01
1135,2.12E+01
1136,2.12E+01
1137,2.12E+01
1138,2.06E+01
1139,2.06E+01
1140,2.06E+01
1141,2.06E+01
1142,2.14E+01
1143,2.14E+01
1144,2.14E+01
1145,2.14E+01
1146,2.66E+01
1147,2.66E+01
1148,2.64E+01
1149,2.64E+01
1150,2.12E+01
1151,2.12E+01
1152,2.10E+01
1153,2.10E+01
1154,2.06E+01
1155,2.06E+01
1156,2.06E+01
1157,2.06E+01
1158,2.08E+01
1159,2.08E+01
1160,2.08E+01
1161,2.08E+01
1162,2.10E+01
1163,2.10E+01
1164,2.08E+01
1165,2.08E+01
1166,2.08E+01
1167,2.08E+01
1168,2.08E+01
1169,2.08E+01
1170,2.14E+01
1171,2.14E+01
1172,2.14E+01
1173,2.14E+01
1174,2.30E+01
1175,2.30E+01
1176,2.28E+01
1177,2.28E+01
1178,2.38E+01
1179,2.38E+01
1180,2.38E+01
1181,2.38E+01
1182,2.42E+01
1183,2.42E+01
1184,2.42E+01
1185,2.42E+01
1186,2.20E+01
1187,2.20E+01
1188,2.20E+01
1189,2.20E+01
1190,2.02E+01
1191,2.02E+01
1192,2.02E+01
1193,2.02E+01
1194,2.02E+01
1195,2.02E+01
1196,2.02E+01
1197,2.02E+01
1198,1.98E+01
1199,1.98E+01
1199,1.98E+01
