Sequence,Volt
1178,1.64E+01
1179,1.64E+01
1180,1.62E+01
1181,1.62E+01
1182,1.62E+01
1183,1.62E+01
1184,1.62E+01
1185,1.62E+01
1186,1.70E+01
1187,1.70E+01
1188,1.72E+01
1189,1.72E+01
1190,1.64E+01
1191,1.64E+01
1192,1.64E+01
1193,1.64E+01
1194,1.62E+01
1195,1.62E+01
1196,1.62E+01
1197,1.62E+01
1198,1.64E+01
1199,1.64E+01
